Portal,Role,Route,Resolved Route,State,Viewport,Viewport Width,Viewport Height,Document Scroll Height,Main Content Height,Persistent Header Height,Persistent Footer Or Navigation Height,Effective Usable Viewport Height,Effective Ratio,Classification,Primary Action Visible,Major Section Count,Workflow Count,Horizontal Overflow,List Containment,Access Result,Evidence,Original Worst Ratio,Original Classification,Worst State Reduction Percent,Notes
Staff,Club Admin,/staff-chat,/staff-chat,Representative populated default,mobile,375,812,1306,1242,64,0,748,1.66,Green,true,1,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-staff-chat-mobile.png,1.66,Green,0.00,
Staff,Club Admin,/parent-chat-staff,/parent-chat-staff,Representative populated default,mobile,375,812,831,767,64,0,748,1.03,Green,true,1,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-parent-chat-staff-mobile.png,1.07,Green,3.74,
Staff,Club Admin,/resources,/resources,Representative populated default,mobile,375,812,2373,2309,64,0,748,3.09,Amber,true,4,2,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-resources-mobile.png,3.08,Amber,-0.32,
Staff,Club Admin,/add-player,/add-player,Representative populated default,mobile,375,812,1789,1725,64,0,748,2.31,Amber,true,2,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-add-player-mobile.png,2.3,Amber,-0.43,
Staff,Club Admin,/assess-player,/assess-player,Representative populated default,mobile,375,812,946,882,64,0,748,1.18,Green,true,1,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-assess-player-mobile.png,1.18,Green,0.00,
Staff,Club Admin,/assess-player/completed,/assess-player/completed,Representative populated default,mobile,375,812,1926,1863,64,0,748,2.49,Amber,false,2,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-assess-player-completed-mobile.png,4.81,Red,48.23,
Staff,Club Admin,/player/Alex%20Morgan,/player/Alex%20Morgan,Representative populated default,mobile,375,812,2862,2798,64,0,748,3.74,Amber,true,1,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-player-Alex-20Morgan-mobile.png,10.37,Extreme,63.93,
Staff,Club Admin,/match-day,/match-day,Representative populated default,mobile,375,812,812,749,64,0,748,1,Green,true,5,19,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-match-day-mobile.png,11.62,Extreme,78.57,
Staff,Club Admin,/teams,/teams,Representative populated default,mobile,375,812,2501,2438,64,0,748,3.26,Amber,true,2,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-teams-mobile.png,5.29,Red,38.37,
Staff,Club Admin,/end-season-stats,/end-season-stats,Representative populated default,mobile,375,812,2316,2253,64,0,748,3.01,Amber,false,3,0,false,Short list,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-end-season-stats-mobile.png,3.01,Amber,0.00,
Staff,Club Admin,/user-access,/user-access,Representative populated default,mobile,375,812,2646,2583,64,0,748,3.45,Amber,false,3,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-user-access-mobile.png,4.53,Red,23.84,
Staff,Club Admin,/feedback-forms,/feedback-forms,Representative populated default,mobile,375,812,8515,8451,64,0,748,,N/A,true,3,31,false,Controlled,Access gate or hidden-state page,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-feedback-forms-mobile.png,,,,
Staff,Club Admin,/form-builder,/form-builder,Representative populated default,mobile,375,812,10659,10596,64,0,748,,N/A,false,4,1,false,Not applicable,Access gate or hidden-state page,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-form-builder-mobile.png,,,,
Staff,Club Admin,/parent-email-templates,/parent-email-templates,Representative populated default,mobile,375,812,1396,1333,64,0,748,1.78,Green,true,2,3,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-parent-email-templates-mobile.png,18.16,Extreme,90.20,
Staff,Club Admin,/club-settings,/club-settings,Representative populated default,mobile,375,812,812,749,64,0,748,1,Green,true,1,2,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-club-settings-mobile.png,3.35,Amber,70.15,
Staff,Club Admin,/billing,/billing,Representative populated default,mobile,375,812,812,749,64,0,748,,N/A,true,1,2,false,Not applicable,Access gate or hidden-state page,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-billing-mobile.png,,,,
Staff,Club Admin,/activity-log,/activity-log,Representative populated default,mobile,375,812,812,749,64,0,748,,N/A,true,1,2,false,Not applicable,Access gate or hidden-state page,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-activity-log-mobile.png,,,,
Staff,Club Admin,/data-transfer,/coach,Representative populated default,mobile,375,812,1926,1863,64,0,748,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-data-transfer-mobile.png,,,,
Staff,Club Admin,/information,/information,Representative populated default,mobile,375,812,1565,1502,64,0,748,2.01,Amber,true,2,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-information-mobile.png,13.23,Extreme,84.81,
Staff,Club Admin,/user-settings,/user-settings,Representative populated default,mobile,375,812,2013,1950,64,0,748,2.61,Amber,true,3,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-user-settings-mobile.png,5.21,Red,49.90,
Staff,Club Admin,/feedback/new?route=%2Fcoach,/feedback/new?route=%2Fcoach,Representative populated default,mobile,375,812,2101,2037,64,0,748,2.72,Amber,false,1,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-feedback-new-route-2Fcoach-mobile.png,2.72,Amber,0.00,
Staff,Platform Admin unavailable,/platform-admin,/coach,Representative populated default,mobile,375,812,1926,1863,64,0,748,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-platform-admin-mobile.png,,,,
Staff,Platform Admin unavailable,/platform-clubs,/coach,Representative populated default,mobile,375,812,1926,1863,64,0,748,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-platform-clubs-mobile.png,,,,
Staff,Platform Admin unavailable,/platform-analytics,/coach,Representative populated default,mobile,375,812,1926,1863,64,0,748,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-platform-analytics-mobile.png,,,,
Staff,Platform Admin unavailable,/platform-banners,/coach,Representative populated default,mobile,375,812,1926,1863,64,0,748,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-platform-banners-mobile.png,,,,
Staff,Platform Admin unavailable,/platform-staff,/coach,Representative populated default,mobile,375,812,1926,1863,64,0,748,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-platform-staff-mobile.png,,,,
Staff,Platform Admin unavailable,/platform-data-hygiene,/coach,Representative populated default,mobile,375,812,1926,1863,64,0,748,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-platform-data-hygiene-mobile.png,,,,
Staff,Platform Admin unavailable,/platform-billing-options,/coach,Representative populated default,mobile,375,812,1926,1863,64,0,748,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-platform-billing-options-mobile.png,,,,
Staff,Platform Admin unavailable,/platform-feedback,/platform-feedback,Representative populated default,mobile,375,812,812,749,64,0,748,,N/A,true,1,2,false,Not applicable,Access gate or hidden-state page,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-platform-feedback-mobile.png,,,,
Staff,Club Admin,/calendar,/calendar,Representative populated default,tablet,768,1024,1427,1325,102,0,922,1.44,Green,true,2,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-calendar-tablet.png,1.46,Green,-4.79,
Staff,Club Admin,/sessions/previous,/sessions/previous,Representative populated default,tablet,768,1024,1101,999,102,0,922,1.08,Green,true,3,4,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-sessions-previous-tablet.png,7.65,Red,79.22,
Staff,Club Admin,/players/current,/players/current,Representative populated default,tablet,768,1024,1771,1670,102,0,922,1.81,Green,false,2,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-players-current-tablet.png,6.67,Red,60.27,
Staff,Club Admin,/player/Alex%20Morgan,/player/Alex%20Morgan,Representative populated default,tablet,768,1024,1920,1818,102,0,922,1.97,Green,true,1,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-player-Alex-20Morgan-tablet.png,10.37,Extreme,63.93,
Staff,Club Admin,/match-day,/match-day,Representative populated default,tablet,768,1024,1024,923,102,0,922,1,Green,true,5,19,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-match-day-tablet.png,11.62,Extreme,78.57,
Staff,Club Admin,/parent-email-templates,/parent-email-templates,Representative populated default,tablet,768,1024,1370,1269,102,0,922,1.38,Green,true,2,3,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-parent-email-templates-tablet.png,18.16,Extreme,90.20,
Staff,Club Admin,/information,/information,Representative populated default,tablet,768,1024,1274,1172,102,0,922,1.27,Green,true,2,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-information-tablet.png,13.23,Extreme,84.81,
Staff,Club Admin,/user-settings,/user-settings,Representative populated default,tablet,768,1024,1471,1370,102,0,922,1.49,Green,true,3,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-user-settings-tablet.png,5.21,Red,49.90,
Staff,Club Admin,/coach,/coach,Representative populated default,desktop,1440,900,1114,1012,102,0,798,1.27,Green,true,5,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-coach-desktop.png,2.49,Amber,0.00,
Staff,Club Admin,/calendar,/calendar,Representative populated default,desktop,1440,900,1277,1175,102,0,798,1.47,Green,true,2,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-calendar-desktop.png,1.46,Green,-4.79,
Staff,Club Admin,/sessions,/sessions,Representative populated default,desktop,1440,900,900,799,102,0,798,1,Green,true,1,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-sessions-desktop.png,1.21,Green,0.00,
Staff,Club Admin,/sessions/start,/sessions/start,Representative populated default,desktop,1440,900,1305,1204,102,0,798,1.51,Green,true,8,2,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-sessions-start-desktop.png,5.01,Red,44.51,
Staff,Club Admin,/sessions/previous,/sessions/previous,Representative populated default,desktop,1440,900,915,813,102,0,798,1.02,Green,true,3,4,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-sessions-previous-desktop.png,7.65,Red,79.22,
Staff,Club Admin,/players,/players,Representative populated default,desktop,1440,900,900,799,102,0,798,1,Green,true,1,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-players-desktop.png,1.15,Green,0.00,
Staff,Club Admin,/players/current,/players/current,Representative populated default,desktop,1440,900,1082,980,102,0,798,1.23,Green,false,2,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-players-current-desktop.png,6.67,Red,60.27,
Staff,Club Admin,/archived-players,/archived-players,Representative populated default,desktop,1440,900,900,799,102,0,798,1,Green,true,1,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-archived-players-desktop.png,1.12,Green,0.00,
Staff,Club Admin,/parent-linking,/parent-linking,Representative populated default,desktop,1440,900,1080,979,102,0,798,1.23,Green,true,3,3,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-parent-linking-desktop.png,2.78,Amber,-0.36,
Staff,Club Admin,/email-queue,/coach,Representative populated default,desktop,1440,900,1114,1012,102,0,798,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-email-queue-desktop.png,,,,
Staff,Club Admin,/polls,/polls,Representative populated default,desktop,1440,900,1200,1098,102,0,798,1.38,Green,true,3,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-polls-desktop.png,5.57,Red,62.30,
Staff,Club Admin,/staff-chat,/staff-chat,Representative populated default,desktop,1440,900,900,799,102,0,798,1,Green,true,1,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-staff-chat-desktop.png,1.66,Green,0.00,
Staff,Club Admin,/parent-chat-staff,/parent-chat-staff,Representative populated default,desktop,1440,900,900,799,102,0,798,1,Green,true,1,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-parent-chat-staff-desktop.png,1.07,Green,3.74,
Staff,Club Admin,/resources,/resources,Representative populated default,desktop,1440,900,1687,1585,102,0,798,1.99,Green,true,4,2,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-resources-desktop.png,3.08,Amber,-0.32,
Staff,Club Admin,/add-player,/add-player,Representative populated default,desktop,1440,900,1209,1107,102,0,798,1.39,Green,true,2,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-add-player-desktop.png,2.3,Amber,-0.43,
Staff,Club Admin,/assess-player,/assess-player,Representative populated default,desktop,1440,900,900,799,102,0,798,1,Green,true,1,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-assess-player-desktop.png,1.18,Green,0.00,
Staff,Club Admin,/assess-player/completed,/assess-player/completed,Representative populated default,desktop,1440,900,1082,980,102,0,798,1.23,Green,false,2,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-assess-player-completed-desktop.png,4.81,Red,48.23,
Staff,Club Admin,/player/Alex%20Morgan,/player/Alex%20Morgan,Representative populated default,desktop,1440,900,1523,1421,102,0,798,1.78,Green,true,1,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-player-Alex-20Morgan-desktop.png,10.37,Extreme,63.93,
Staff,Club Admin,/match-day,/match-day,Representative populated default,desktop,1440,900,1309,1207,102,0,798,1.51,Green,true,5,19,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-match-day-desktop.png,11.62,Extreme,78.57,
Staff,Club Admin,/teams,/teams,Representative populated default,desktop,1440,900,1290,1189,102,0,798,1.49,Green,true,2,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-teams-desktop.png,5.29,Red,38.37,
Staff,Club Admin,/end-season-stats,/end-season-stats,Representative populated default,desktop,1440,900,1223,1122,102,0,798,1.41,Green,true,3,0,false,Short list,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-end-season-stats-desktop.png,3.01,Amber,0.00,
Staff,Club Admin,/user-access,/user-access,Representative populated default,desktop,1440,900,1519,1417,102,0,798,1.78,Green,true,3,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-user-access-desktop.png,4.53,Red,23.84,
Staff,Club Admin,/feedback-forms,/feedback-forms,Representative populated default,desktop,1440,900,3684,3582,102,0,798,,N/A,true,3,31,false,Controlled,Access gate or hidden-state page,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-feedback-forms-desktop.png,,,,
Staff,Club Admin,/form-builder,/form-builder,Representative populated default,desktop,1440,900,5331,5229,102,0,798,,N/A,true,4,1,false,Not applicable,Access gate or hidden-state page,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-form-builder-desktop.png,,,,
Staff,Club Admin,/parent-email-templates,/parent-email-templates,Representative populated default,desktop,1440,900,1198,1096,102,0,798,1.37,Green,true,2,3,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-parent-email-templates-desktop.png,18.16,Extreme,90.20,
Staff,Club Admin,/club-settings,/club-settings,Representative populated default,desktop,1440,900,900,799,102,0,798,1,Green,true,1,2,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-club-settings-desktop.png,3.35,Amber,70.15,
Staff,Club Admin,/billing,/billing,Representative populated default,desktop,1440,900,900,799,102,0,798,,N/A,true,1,2,false,Not applicable,Access gate or hidden-state page,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-billing-desktop.png,,,,
Staff,Club Admin,/activity-log,/activity-log,Representative populated default,desktop,1440,900,900,799,102,0,798,,N/A,true,1,2,false,Not applicable,Access gate or hidden-state page,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-activity-log-desktop.png,,,,
Staff,Club Admin,/data-transfer,/coach,Representative populated default,desktop,1440,900,1114,1012,102,0,798,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-data-transfer-desktop.png,,,,
Staff,Club Admin,/information,/information,Representative populated default,desktop,1440,900,983,882,102,0,798,1.11,Green,true,2,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-information-desktop.png,13.23,Extreme,84.81,
Staff,Club Admin,/user-settings,/user-settings,Representative populated default,desktop,1440,900,1345,1244,102,0,798,1.56,Green,true,3,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-user-settings-desktop.png,5.21,Red,49.90,
Staff,Club Admin,/feedback/new?route=%2Fcoach,/feedback/new?route=%2Fcoach,Representative populated default,desktop,1440,900,1175,1073,102,0,798,1.34,Green,false,1,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-feedback-new-route-2Fcoach-desktop.png,2.72,Amber,0.00,
Staff,Platform Admin unavailable,/platform-admin,/coach,Representative populated default,desktop,1440,900,1114,1012,102,0,798,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-platform-admin-desktop.png,,,,
Staff,Platform Admin unavailable,/platform-clubs,/coach,Representative populated default,desktop,1440,900,1114,1012,102,0,798,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-platform-clubs-desktop.png,,,,
Staff,Platform Admin unavailable,/platform-analytics,/coach,Representative populated default,desktop,1440,900,1114,1012,102,0,798,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-platform-analytics-desktop.png,,,,
Staff,Platform Admin unavailable,/platform-banners,/coach,Representative populated default,desktop,1440,900,1114,1012,102,0,798,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-platform-banners-desktop.png,,,,
Staff,Platform Admin unavailable,/platform-staff,/coach,Representative populated default,desktop,1440,900,1114,1012,102,0,798,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-platform-staff-desktop.png,,,,
Staff,Platform Admin unavailable,/platform-data-hygiene,/coach,Representative populated default,desktop,1440,900,1114,1012,102,0,798,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-platform-data-hygiene-desktop.png,,,,
Staff,Platform Admin unavailable,/platform-billing-options,/coach,Representative populated default,desktop,1440,900,1114,1012,102,0,798,,N/A,true,5,0,false,Not applicable,Redirected to /coach,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-platform-billing-options-desktop.png,,,,
Staff,Platform Admin unavailable,/platform-feedback,/platform-feedback,Representative populated default,desktop,1440,900,900,799,102,0,798,,N/A,true,1,2,false,Not applicable,Access gate or hidden-state page,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-platform-feedback-desktop.png,,,,
Staff,Club Admin,/assess-player/new,/assess-player/new,"Representative populated default, disclosures reset",mobile,375,812,2883,2819,64,0,748,3.77,Amber,false,5,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-assess-player-new-mobile.png,4.31,Red,12.53,
Staff,Club Admin,/create-evaluation,/create-evaluation,"Representative populated default, disclosures reset",mobile,375,812,2883,2819,64,0,748,3.77,Amber,false,5,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-create-evaluation-mobile.png,4.31,Red,12.53,
Staff,Club Admin,/create,/create,"Representative populated default, disclosures reset",mobile,375,812,2883,2819,64,0,748,3.77,Amber,false,5,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-create-mobile.png,4.31,Red,12.53,
Staff,Club Admin,/assess-player/new,/assess-player/new,"Representative populated default, disclosures reset",desktop,1440,900,1704,1602,102,0,798,2.01,Amber,false,5,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-assess-player-new-desktop.png,4.31,Red,12.53,
Staff,Club Admin,/create-evaluation,/create-evaluation,"Representative populated default, disclosures reset",desktop,1440,900,1704,1602,102,0,798,2.01,Amber,false,5,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-create-evaluation-desktop.png,4.31,Red,12.53,
Staff,Club Admin,/create,/create,"Representative populated default, disclosures reset",desktop,1440,900,1704,1602,102,0,798,2.01,Amber,false,5,1,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/staff-create-desktop.png,4.31,Red,12.53,
Parent Portal,Parent,/parent-portal?section=overview,/parent-portal?section=overview,One child populated default,mobile,375,812,1704,1472,180,202,430,3.42,Amber,true,3,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/parent-parent-portal-section-overview-one-child-populated-default-mobile.png,3,Amber,-14.00,Exact production candidate build measured locally with approved FP TEST session. Production parity verified after deploy.
Parent Portal,Parent,/parent-portal?section=calendar,/parent-portal?section=calendar,One child populated default,mobile,375,812,1845,1613,180,202,430,3.75,Amber,true,3,0,false,Not applicable,Loaded,FP-V1-PAGE-LENGTH-REMEDIATION-MASTER-06-screenshots/parent-parent-portal-section-calendar-one-child-populated-default-mobile.png,3.49,Amber,-7.45,Exact production candidate build measured locally with approved FP TEST session. Production parity verified after deploy.
